czas;majority_voter;median_voter;weighted_voter
101;335.19;335.15;335.21
102;335.40;335.44;335.38
103;335.34;335.40;335.37
104;335.42;335.48;335.43
105;335.23;335.19;335.22
106;335.26;335.19;335.29
107;335.72;335.43;335.86
108;335.26;335.30;335.24
109;335.75;335.46;335.89
110;335.20;335.20;335.18
111;335.40;335.48;335.37
112;335.47;335.50;335.45
113;335.31;335.35;335.29
114;335.29;335.19;335.25
115;335.40;335.46;335.37
116;335.32;335.39;335.36
117;335.33;335.25;335.30
118;335.43;335.40;335.44
119;335.40;335.50;335.36
120;335.05;335.25;335.07
121;335.08;335.34;335.06
122;335.27;335.34;335.28
123;335.26;335.31;335.28
124;335.49;335.53;335.49
125;335.30;335.21;335.35
126;335.32;335.38;335.31
127;335.38;335.45;335.42
128;335.41;335.35;335.44
129;335.34;335.44;335.30
130;335.39;335.35;335.39
131;335.44;335.52;335.40
132;335.61;335.41;335.53
133;335.48;335.52;335.46
134;335.26;335.23;335.26
135;335.03;335.31;334.88
136;335.40;335.48;335.42
137;335.35;335.26;335.38
138;335.40;335.42;335.40
139;335.34;335.24;335.30
140;335.35;335.30;335.38
141;335.42;335.50;335.38
142;335.24;335.26;335.25
143;335.42;335.45;335.44
144;335.40;335.43;335.41
145;335.32;335.38;335.35
146;335.38;335.36;335.39
147;335.42;335.36;335.40
148;335.35;335.43;335.32
149;335.28;335.34;335.27
150;335.27;335.19;335.24
151;335.35;335.37;335.36
152;335.45;335.50;335.45
153;335.34;335.28;335.32
154;335.32;335.25;335.28
155;335.29;335.32;335.29
156;334.99;335.19;334.89
157;335.35;335.40;335.35
158;335.41;335.50;335.36
159;335.31;335.33;335.30
160;335.27;335.20;335.25
161;335.29;335.29;335.30
162;335.35;335.32;335.35
163;335.31;335.39;335.33
164;335.30;335.38;335.26
165;335.51;335.52;335.52
166;335.37;335.36;335.36
167;335.23;335.26;335.24
168;335.29;335.32;335.28
169;335.37;335.45;335.38
170;335.37;335.44;335.34
171;335.35;335.43;335.37
172;335.24;335.26;335.24
173;335.35;335.44;335.31
174;335.26;335.29;335.24
175;335.44;335.40;335.46
176;335.33;335.42;335.32
177;335.43;335.46;335.44
178;335.39;335.49;335.35
179;335.34;335.29;335.37
180;335.25;335.23;335.26
181;335.33;335.28;335.31
182;335.30;335.30;335.26
183;335.17;335.14;335.16
184;335.39;335.31;335.35
185;335.27;335.20;335.30
186;335.37;335.48;335.32
187;335.38;335.44;335.39
188;335.29;335.22;335.26
189;335.43;335.29;335.35
190;335.38;335.31;335.38
191;335.34;335.39;335.36
192;335.26;335.22;335.25
193;335.45;335.40;335.45
194;335.68;335.48;335.59
195;335.24;335.22;335.23
196;335.27;335.18;335.24
197;335.01;335.31;335.08
198;335.29;335.36;335.31
199;335.32;335.25;335.36
200;335.41;335.48;335.41
201;335.26;335.19;335.31
202;335.38;335.40;335.39
203;335.19;335.22;335.20
204;335.31;335.25;335.34
205;335.38;335.30;335.38
206;335.29;335.36;335.32
207;335.45;335.50;335.42
208;335.39;335.50;335.44
209;335.19;335.17;335.20
210;335.22;335.18;335.21
211;335.30;335.22;335.34
212;335.36;335.33;335.37
213;335.30;335.27;335.29
214;335.28;335.34;335.28
215;335.49;335.53;335.50
216;335.43;335.38;335.46
217;335.32;335.28;335.30
218;335.42;335.24;335.51
219;335.25;335.18;335.29
220;335.56;335.29;335.44
221;335.25;335.21;335.25
222;335.21;335.18;335.21
223;335.33;335.25;335.36
224;335.49;335.64;335.58
225;335.24;335.28;335.22
226;335.26;335.28;335.25
227;335.31;335.33;335.31
228;335.42;335.49;335.38
229;335.33;335.42;335.29
230;335.28;335.22;335.28
231;335.31;335.38;335.35
232;335.32;335.26;335.31
233;335.31;335.24;335.29
234;335.39;335.50;335.34
235;335.23;335.15;335.20
236;335.32;335.40;335.28
237;335.39;335.48;335.35
238;335.29;335.34;335.30
239;335.37;335.30;335.40
240;335.24;335.16;335.21
241;335.34;335.29;335.37
242;335.46;335.28;335.42
243;335.40;335.47;335.41
244;335.39;335.47;335.36
245;335.38;335.33;335.38
246;335.27;335.20;335.25
247;335.27;335.33;335.29
248;335.39;335.37;335.38
249;335.35;335.43;335.33
250;335.37;335.32;335.34
251;335.40;335.49;335.42
252;335.35;335.28;335.33
253;335.29;335.37;335.34
254;335.41;335.53;335.42
255;335.23;335.25;335.23
256;335.39;335.49;335.44
257;335.52;335.53;335.52
258;335.20;335.14;335.18
259;335.45;335.51;335.46
260;335.31;335.38;335.32
261;335.34;335.28;335.37
262;335.30;335.34;335.31
263;335.39;335.50;335.34
264;335.40;335.47;335.41
265;335.35;335.35;335.34
266;335.18;335.18;335.18
267;335.47;335.51;335.47
268;335.33;335.25;335.30
269;335.37;335.40;335.36
270;335.44;335.50;335.45
271;335.37;335.37;335.40
272;335.27;335.33;335.24
273;335.29;335.35;335.29
274;335.12;335.33;335.01
275;335.38;335.35;335.37
276;335.19;335.19;335.19
277;335.43;335.40;335.42
278;335.26;335.19;335.23
279;335.34;335.44;335.29
280;335.18;335.48;335.20
281;335.45;335.54;335.40
282;335.24;335.19;335.25
283;335.35;335.44;335.29
284;335.29;335.36;335.26
285;335.35;335.43;335.36
286;335.35;335.27;335.31
287;335.37;335.34;335.35
288;335.22;335.17;335.23
289;335.41;335.51;335.42
290;335.20;335.19;335.21
291;335.47;335.44;335.48
292;335.23;335.44;335.33
293;335.25;335.20;335.23
294;335.47;335.25;335.44
295;335.29;335.21;335.27
296;335.27;335.22;335.26
