czas;majority_voter;median_voter;weighted_voter
101;335.38;335.31;335.36
102;335.37;335.47;335.38
103;335.28;335.25;335.28
104;335.35;335.29;335.33
105;335.50;335.49;335.51
106;335.38;335.45;335.35
107;335.08;335.31;335.20
108;335.32;335.26;335.31
109;334.99;335.24;335.09
110;335.42;335.38;335.44
111;335.32;335.33;335.31
112;335.31;335.38;335.32
113;335.20;335.19;335.19
114;335.31;335.20;335.37
115;335.43;335.48;335.41
116;335.41;335.37;335.40
117;335.36;335.28;335.31
118;335.38;335.45;335.41
119;335.47;335.39;335.45
120;335.63;335.31;335.49
121;335.20;335.17;335.20
122;335.26;335.23;335.25
123;335.32;335.22;335.27
124;335.38;335.38;335.36
125;335.34;335.25;335.34
126;335.28;334.90;335.08
127;335.36;335.45;335.37
128;335.25;335.21;335.28
129;335.29;335.32;335.29
130;335.34;335.22;335.31
131;335.44;335.40;335.43
132;335.21;335.24;335.19
133;335.52;335.12;335.57
134;335.32;335.25;335.30
135;335.40;335.50;335.41
136;335.26;335.32;335.28
137;335.58;335.26;335.45
138;335.29;335.28;335.29
139;335.22;335.23;335.22
140;335.31;335.25;335.28
141;335.27;335.33;335.30
142;335.31;335.29;335.32
143;335.67;335.37;335.61
144;335.34;335.44;335.40
145;335.35;335.44;335.35
146;334.91;335.13;335.01
147;335.31;335.38;335.33
148;335.68;335.39;335.59
149;335.34;335.25;335.38
150;335.37;335.34;335.37
151;335.36;335.44;335.39
152;335.43;335.51;335.39
153;335.35;335.41;335.38
154;335.22;335.06;335.21
155;335.55;335.30;335.66
156;335.35;335.44;335.35
157;335.27;335.43;335.34
158;335.43;335.49;335.45
159;335.37;335.64;335.26
160;335.22;335.26;335.23
161;335.38;335.15;335.30
162;335.32;335.25;335.34
163;335.02;335.32;335.08
164;335.30;335.34;335.32
165;335.24;335.61;335.07
166;335.28;335.20;335.29
167;335.37;335.39;335.37
168;335.30;335.46;335.29
169;335.34;335.42;335.37
170;335.30;335.23;335.29
171;335.23;335.19;335.21
172;335.38;335.48;335.39
173;335.55;335.42;335.49
174;335.41;335.46;335.43
175;335.13;335.44;334.98
176;335.26;335.31;335.26
177;335.49;335.46;335.50
178;335.38;335.45;335.34
179;335.34;335.43;335.37
180;335.51;335.54;335.49
181;335.38;335.46;335.42
182;335.39;335.31;335.36
183;335.37;335.28;335.42
184;335.40;335.46;335.42
185;335.51;335.25;335.47
186;335.38;335.48;335.33
187;335.52;335.54;335.52
188;335.42;335.47;335.44
189;335.38;335.47;335.34
190;335.22;335.15;335.20
191;335.37;335.46;335.40
192;335.20;335.14;335.19
193;335.27;335.41;335.30
194;335.54;335.27;335.54
195;335.30;335.21;335.26
196;335.16;335.39;335.13
197;335.35;335.40;335.37
198;335.37;335.39;335.36
199;335.44;335.39;335.46
200;335.22;335.14;335.26
201;335.38;335.42;335.39
202;335.42;335.26;335.50
203;335.32;335.49;335.29
204;335.35;335.26;335.32
205;335.26;335.20;335.29
206;335.07;335.32;335.14
207;335.14;335.37;335.15
208;335.45;335.40;335.48
209;335.44;335.50;335.46
210;335.34;335.27;335.38
211;335.30;334.81;335.18
212;335.38;335.35;335.37
213;335.16;335.48;335.00
214;335.47;335.44;335.47
215;335.63;335.31;335.65
216;335.28;335.19;335.27
217;335.21;335.18;335.22
218;335.04;335.20;335.06
219;335.37;335.33;335.35
