czas;majority_voter;median_voter;weighted_voter
101;335.50;335.58;335.54
102;335.38;335.49;335.33
103;335.20;335.16;335.19
104;335.49;335.47;335.48
105;335.71;335.42;335.71
106;335.38;335.30;335.35
107;335.18;335.03;335.19
108;335.40;335.50;335.45
109;335.54;335.15;335.39
110;335.20;335.41;335.26
111;335.26;335.30;335.28
112;335.34;335.42;335.38
113;335.37;335.48;335.40
114;335.30;335.33;335.31
115;334.99;334.74;334.93
116;335.26;335.03;335.28
117;335.09;335.29;335.00
118;335.29;335.51;335.38
119;335.82;336.13;335.85
120;335.30;335.37;335.32
121;335.33;335.33;335.32
122;335.34;335.42;335.30
123;335.35;335.44;335.38
124;335.53;335.35;335.53
125;335.28;335.17;335.27
126;335.42;335.21;335.34
127;335.16;335.04;335.13
128;335.15;335.47;335.20
129;335.25;335.14;335.19
130;335.16;335.02;335.11
131;335.17;334.92;335.08
132;335.54;335.54;335.54
133;335.45;335.50;335.43
